"inputName","outputName"
"Leavenworthia crassa var. elongata","Leavenworthia crassa var. elongata"
"Leavenworthia exigua","Leavenworthia exigua"
"Leavenworthia exigua var. exigua","Leavenworthia exigua var. exigua"
"Leavenworthia exigua var. laciniata","Leavenworthia exigua var. laciniata"
"Leavenworthia exigua var. lutea","Leavenworthia exigua var. lutea"
"Leavenworthia stylosa","Leavenworthia stylosa"
"Leavenworthia aurea var. texana","Leavenworthia texana"
"Leavenworthia torulosa","Leavenworthia torulosa"
"Leavenworthia michauxii","Leavenworthia uniflora"
"Lechea cernua","Lechea cernua"
"Lechea deckertii","Lechea deckertii"
"Lechea divaricata","Lechea divaricata"
"Lechea intermedia","Lechea intermedia"
"Lechea intermedia var. depauperata","Lechea intermedia var. depauperata"
"Lechea intermedia var. intermedia","Lechea intermedia var. intermedia"
"Lechea intermedia var. juniperina","Lechea intermedia var. juniperina"
"Lechea intermedia var. laurentiana","Lechea intermedia var. laurentiana"
"Lechea lakelae","Lechea lakelae"
"Lechea maritima","Lechea maritima"
"Lechea maritima var. maritima","Lechea maritima var. maritima"
"Lechea maritima var. subcylindrica","Lechea maritima var. subcylindrica"
"Lechea maritima var. virginica","Lechea maritima var. virginica"
"Lechea mensalis","Lechea mensalis"
"Lechea minor","Lechea minor"
"Lechea villosa","Lechea mucronata"
"Lechea leggettii","Lechea pulchella"
"Lechea pulchella var. moniliformis","Lechea pulchella var. moniliformis"
"Lechea pulchella var. pulchella","Lechea pulchella var. pulchella"
"Lechea pulchella var. ramosissima","Lechea pulchella var. ramosissima"
"Lechea racemulosa","Lechea racemulosa"
"Lechea san-sabeana","Lechea san-sabeana"
"Lechea sessiliflora","Lechea sessiliflora"
"Lechea stricta","Lechea stricta"
"Lechea tenuifolia","Lechea tenuifolia"
"Lechea torreyi","Lechea torreyi"
"Legenere limosa","Legenere limosa"
"Githopsis latifolia","Legousia speculum-veneris"
"Chaptalia seemannii","Leibnitzia seemannii"
"Leibnitzia lyrata","Leibnitzia seemannii"
"Leitneria floridana","Leitneria floridana"
"Leitneria pilosa","Leitneria pilosa"
"Leitneria pilosa ssp. ozarkana","Leitneria pilosa ssp. ozarkana"
"Leitneria pilosa ssp. pilosa","Leitneria pilosa ssp. pilosa"
"Sedum texanum","Lenophyllum texanum"
"Lens culinaris","Lens culinaris"
"Leonotis leonurus","Leonotis leonurus"
"Leonotis nepetifolia","Leonotis nepetifolia"
"Oporinia autumnalis","Leontodon autumnalis"
"Scorzoneroides autumnalis","Leontodon autumnalis"
"Leontodon nudicaulis","Leontodon hirtus"
"Leontodon hispidus","Leontodon hispidus"
"Leontodon hispidus ssp. danubialis","Leontodon hispidus ssp. danubialis"
"Leontodon hispidus ssp. hispidus","Leontodon hispidus ssp. hispidus"
"Leontodon saxatilis","Leontodon taraxacoides"
"Leontodon saxatilis ssp. longirostris","Leontodon taraxacoides ssp. longirostris"
"Leontodon saxatilis ssp. saxatilis","Leontodon taraxacoides ssp. taraxacoides"
"Leonurus cardiaca","Leonurus cardiaca"
"Leonurus cardiaca var. cardiaca","Leonurus cardiaca ssp. cardiaca"
"Chaiturus marrubiastrum","Leonurus marrubiastrum"
"Leonurus japonicus","Leonurus sibiricus"
"Lepechinia calycina","Lepechinia calycina"
"Lepechinia cardiophylla","Lepechinia cardiophylla"
"Lepechinia fragrans","Lepechinia fragrans"
"Lepechinia ganderi","Lepechinia ganderi"
"Lepechinia hastata","Lepechinia hastata"
"Pothomorphe peltata","Lepianthes peltata"
"Pothomorphe umbellata","Lepianthes umbellata"
"Lepidium africanum","Lepidium africanum"
"Lepidium alyssoides","Lepidium alyssoides"
"Lepidium arbuscula","Lepidium arbuscula"
"Lepidium aucheri","Lepidium aucheri"
"Lepidium austrinum","Lepidium austrinum"
"Lepidium barnebyanum","Lepidium barnebyanum"
"Lepidium bidentatum","Lepidium bidentatum"
"Lepidium bidentatum var. o-waihiense","Lepidium bidentatum var. owaihiense"
"Lepidium remyi","Lepidium bidentatum var. remyi"
"Lepidium bonariense","Lepidium bonariense"
"Lepidium campestre","Lepidium campestre"
"Lepidium crenatum","Lepidium crenatum"
"Lepidium davisii","Lepidium davisii"
"Lepidium densiflorum","Lepidium densiflorum"
"Lepidium densiflorum var. densiflorum","Lepidium densiflorum var. densiflorum"
"Lepidium densiflorum var. elongatum","Lepidium densiflorum var. elongatum"
"Lepidium densiflorum var. macrocarpum","Lepidium densiflorum var. macrocarpum"
"Lepidium densiflorum var. pubicarpum","Lepidium densiflorum var. pubecarpum"
"Lepidium densiflorum var. ramosum","Lepidium densiflorum var. ramosum"
"Lepidium dictyotum","Lepidium dictyotum"
"Lepidium acutidens","Lepidium dictyotum var. acutidens"
"Lepidium dictyotum","Lepidium dictyotum var. dictyotum"
"Lepidium alyssoides var. eastwoodiae","Lepidium eastwoodiae"
"Lepidium montanum var. eastwoodiae","Lepidium eastwoodiae"
"Lepidium flavum","Lepidium flavum"
"Lepidium flavum var. felipense","Lepidium flavum var. felipense"
"Lepidium flavum var. flavum","Lepidium flavum var. flavum"
"Lepidium fremontii","Lepidium fremontii"
"Lepidium fremontii var. fremontii","Lepidium fremontii var. fremontii"
"Lepidium fremontii var. stipitatum","Lepidium fremontii var. stipitatum"
"Lepidium graminifolium","Lepidium graminifolium"
"Lepidium heterophyllum","Lepidium heterophyllum"
"Lepidium hirtum","Lepidium hirtum"
"Lepidium huberi","Lepidium huberi"
"Lepidium hyssopifolium","Lepidium hyssopifolium"
"Lepidium integrifolium var. integrifolium","Lepidium integrifolium"
"Lepidium jaredii","Lepidium jaredii"
"Lepidium jaredii ssp. album","Lepidium jaredii ssp. album"
"Lepidium jaredii ssp. jaredii","Lepidium jaredii ssp. jaredii"
"Lepidium lasiocarpum","Lepidium lasiocarpum"
"Lepidium lasiocarpum ssp. lasiocarpum","Lepidium lasiocarpum var. lasiocarpum"
"Lepidium lasiocarpum ssp. wrightii","Lepidium lasiocarpum var. wrightii"
"Lepidium latifolium","Lepidium latifolium"
"Lepidium latipes","Lepidium latipes"
"Lepidium latipes var. heckardii","Lepidium latipes var. heckardii"
"Lepidium latipes var. latipes","Lepidium latipes var. latipes"
"Lepidium montanum","Lepidium montanum"
"Lepidium nanum","Lepidium nanum"
"Lepidium nitidum","Lepidium nitidum"
"Lepidium nitidum var. howellii","Lepidium nitidum var. howellii"
"Lepidium nitidum var. nitidum","Lepidium nitidum var. nitidum"
"Lepidium nitidum var. oreganum","Lepidium nitidum var. oreganum"
"Lepidium oblongum","Lepidium oblongum"
"Lepidium oblongum var. insulare","Lepidium oblongum var. insulare"
"Lepidium oblongum var. oblongum","Lepidium oblongum var. oblongum"
"Lepidium ostleri","Lepidium ostleri"
"Lepidium oxycarpum","Lepidium oxycarpum"
"Lepidium montanum var. papilliferum","Lepidium papilliferum"
"Lepidium paysonii","Lepidium paysonii"
"Lepidium perfoliatum","Lepidium perfoliatum"
"Lepidium pinnatifidum","Lepidium pinnatifidum"
"Lepidium ramosissimum","Lepidium ramosissimum"
"Lepidium bourgeauanum","Lepidium ramosissimum var. bourgeauanum"
"Lepidium ramosissimum var. divergens","Lepidium ramosissimum var. divergens"
"Lepidium ramosissimum var. ramosissimum","Lepidium ramosissimum var. ramosissimum"
"Lepidium ruderale","Lepidium ruderale"
"Lepidium sativum","Lepidium sativum"
"Lepidium schinzii","Lepidium schinzii"
"Lepidium serra","Lepidium serra"
"Lepidium sordidum","Lepidium sordidum"
"Lepidium strictum","Lepidium strictum"
"Lepidium thurberi","Lepidium thurberi"
"Stroganowia tiehmii","Lepidium tiehmii"
"Lepidium virginicum","Lepidium virginicum"
"Lepidium medium","Lepidium virginicum var. medium"
"Lepidium virginicum ssp. menziesii","Lepidium virginicum var. menziesii"
"Lepidium virginicum var. pubescens","Lepidium virginicum var. pubescens"
"Lepidium virginicum var. robinsonii","Lepidium virginicum var. robinsonii"
"Lepidium virginicum ssp. virginicum","Lepidium virginicum var. virginicum"
"Lepidospartum burgessii","Lepidospartum burgessii"
"Lepidospartum latisquamum","Lepidospartum latisquamum"
"Lepidospartum squamatum","Lepidospartum squamatum"
"Leptarrhena pyrolifolia","Leptarrhena pyrolifolia"
"Cereus grantianus","Leptocereus grantianus"
"Linanthus caespitosus","Leptodactylon caespitosum"
"Leptodactylon californicum","Leptodactylon californicum"
"Leptodactylon californicum ssp. brevitrichomum","Leptodactylon californicum ssp. brevitrichomum"
"Leptodactylon californicum ssp. californicum","Leptodactylon californicum ssp. californicum"
"Leptodactylon californicum ssp. glandulosum","Leptodactylon californicum ssp. glandulosum"
"Leptodactylon californicum ssp. leptotrichomum","Leptodactylon californicum ssp. leptotrichomum"
"Linanthus californicus ssp. tomentosus","Leptodactylon californicum ssp. tomentosum"
"Linanthus glaber","Leptodactylon glabrum"
"Linanthus glabrum","Leptodactylon glabrum"
"Linanthus jaegeri","Leptodactylon jaegeri"
"Leptospermum flavescens","Leptospermum flavescens"
"Leptospermum laevigatum","Leptospermum laevigata"
"Leptospermum scoparium","Leptospermum scoparium"
"Lepuropetalon spathulatum","Lepuropetalon spathulatum"
"Lepyrodiclis holosteoides","Lepyrodiclis holosteoides"
"Lespedeza angustifolia","Lespedeza angustifolia"
"Lespedeza bicolor","Lespedeza bicolor"
"Lespedeza capitata","Lespedeza capitata"
"Lespedeza juncea var. sericea","Lespedeza cuneata"
"Lespedeza cyrtobotrya","Lespedeza cyrtobotrya"
"Lespedeza daurica","Lespedeza daurica"
"Lespedeza formosa","Lespedeza formosa"
"Lespedeza violacea","Lespedeza frutescens"
"Lespedeza hirta","Lespedeza hirta"
"Lespedeza hirta var. curtissii","Lespedeza hirta ssp. curtissii"
"Lespedeza hirta var. hirta","Lespedeza hirta ssp. hirta"
"Lespedeza leptostachya","Lespedeza leptostachya"
"Lespedeza procumbens","Lespedeza procumbens"
"Lespedeza repens","Lespedeza repens"
"Lespedeza stuevei","Lespedeza stuevei"
"Lespedeza texana","Lespedeza texana"
"Lespedeza thunbergii","Lespedeza thunbergii"
"Lespedeza intermedia","Lespedeza violacea"
"Lespedeza virgata","Lespedeza virgata"
"Lespedeza virginica","Lespedeza virginica"
"Lespedeza x acuticarpa","Lespedeza x acuticarpa"
"Lespedeza x brittonii","Lespedeza x brittonii"
"Lespedeza x longifolia","Lespedeza x longifolia"
"Lespedeza x manniana","Lespedeza x manniana"
"Lespedeza x neglecta","Lespedeza x neglecta"
"Lespedeza x nuttallii","Lespedeza x nuttallii"
"Lespedeza x oblongifolia","Lespedeza x oblongifolia"
"Lespedeza x simulata","Lespedeza x simulata"
"Lesquerella x maxima","Lesquerella x maxima"
"Lessingia hololeuca var. arachnoidea","Lessingia arachnoidea"
"Lessingia micradenia var. arachnoidea","Lessingia arachnoidea"
"Lessingia germanorum","Lessingia germanorum"
"Lessingia glandulifera","Lessingia glandulifera"
"Lessingia glandulifera var. glandulifera","Lessingia glandulifera var. glandulifera"
"Lessingia pectinata","Lessingia glandulifera var. pectinata"
"Lessingia glandulifera var. tomentosa","Lessingia glandulifera var. tomentosa"
"Lessingia hololeuca","Lessingia hololeuca"
"Lessingia lemmonii","Lessingia lemmonii"
"Lessingia lemmonii var. lemmonii","Lessingia lemmonii var. lemmonii"
"Lessingia glandulifera var. peirsonii","Lessingia lemmonii var. peirsonii"
"Lessingia lemmonii var. ramulosissima","Lessingia lemmonii var. ramulosissima"
"Lessingia leptoclada","Lessingia leptoclada"
"Lessingia micradenia","Lessingia micradenia"
"Lessingia micradenia var. glabrata","Lessingia micradenia var. glabrata"
"Lessingia micradenia var. micradenia","Lessingia micradenia var. micradenia"
"Lessingia nana","Lessingia nana"
"Lessingia nemaclada","Lessingia nemaclada"
"Lessingia nemaclada var. albiflora","Lessingia nemaclada var. albiflora"
"Lessingia nemaclada var. mendocina","Lessingia nemaclada var. mendocina"
"Lessingia nemaclada var. nemaclada","Lessingia nemaclada var. nemaclada"
"Lessingia ramulosa","Lessingia ramulosa"
"Lessingia ramulosa var. adenophora","Lessingia ramulosa var. adenophora"
"Lessingia ramulosa var. ramulosa","Lessingia ramulosa var. ramulosa"
"Lessingia tenuis","Lessingia tenuis"
"Lessingia virgata","Lessingia virgata"
"Lessingia virgata var. glomerata","Lessingia virgata var. glomerata"
"Lessingia virgata var. virgata","Lessingia virgata var. virgata"
"Leucaena leucocephala","Leucaena leucocephala"
"Leucaena pulverulenta","Leucaena pulverulenta"
"Leucaena retusa","Leucaena retusa"
"Chrysanthemum serotinum","Leucanthemella serotina"
"Arctanthemum integrifolium","Leucanthemum integrifolium"
"Chrysanthemum integrifolium","Leucanthemum integrifolium"
"Hulteniella integrifolia","Leucanthemum integrifolium"
"Chrysanthemum lacustre","Leucanthemum lacustre"
"Leucanthemum maximum","Leucanthemum maximum"
"Leucanthemum nipponicum","Leucanthemum nipponicum"
"Chrysanthemum leucanthemum","Leucanthemum vulgare"
"Chrysanthemum x superbum","Leucanthemum x superbum"
"Leucophyllum candidum","Leucophyllum candidum"
"Leucophyllum frutescens","Leucophyllum frutescens"
"Leucophyllum minus","Leucophyllum minus"
"Chamaesaracha grandiflora","Leucophysalis grandiflora"
"Physalis grandiflora","Leucophysalis grandiflora"
"Leucophysalis nana","Leucophysalis nana"
"Conobea multifida","Leucospora multifida"
"Arida arizonica","Leucosyris arida"
"Machaeranthera ammophila","Leucosyris arida"
"Machaeranthera arida","Leucosyris arida"
"Machaeranthera arizonica","Leucosyris arida"
"Machaeranthera coulteri var. arida","Leucosyris arida"
"Arida blepharophylla","Leucosyris blepharophylla"
"Machaeranthera gypsitherma","Leucosyris blepharophylla"
"Arida carnosa","Leucosyris carnosa"
"Aster intricatus","Leucosyris carnosa"
"Machaeranthera carnosa","Leucosyris carnosa"
"Arida mattturneri","Leucosyris mattturneri"
"Arida parviflora","Leucosyris parviflora"
"Machaeranthera parviflora","Leucosyris parviflora"
"Arida riparia","Leucosyris riparia"
"Machaeranthera riparia","Leucosyris riparia"
"Leucothoe axillaris","Leucothoe axillaris"
"Leucothoe davisiae","Leucothoe davisiae"
"Leucothoe fontanesiana","Leucothoe fontanesiana"
"Eubotrys racemosa","Leucothoe racemosa"
"Eubotrys racemosus","Leucothoe racemosa"
"Eubotrys recurva","Leucothoe recurva"
"Eubotrys recurvus","Leucothoe recurva"
"Levisticum officinale","Levisticum officinale"
"Lewisia brachycalyx","Lewisia brachycalyx"
"Lewisia cantelovii","Lewisia cantelovii"
"Lewisia columbiana","Lewisia columbiana"
"Lewisia columbiana var. columbiana","Lewisia columbiana var. columbiana"
"Lewisia columbiana var. rupicola","Lewisia columbiana var. rupicola"
"Lewisia columbiana var. wallowensis","Lewisia columbiana var. wallowensis"
"Lewisia congdonii","Lewisia congdonii"
"Lewisia cotyledon","Lewisia cotyledon"
"Lewisia cotyledon var. cotyledon","Lewisia cotyledon var. cotyledon"
"Lewisia cotyledon var. heckneri","Lewisia cotyledon var. heckneri"
"Lewisia cotyledon var. howellii","Lewisia cotyledon var. howellii"
"Lewisia disepala","Lewisia disepala"
"Lewisia kelloggii","Lewisia kelloggii"
"Lewisia kelloggii ssp. hutchisonii","Lewisia kelloggii ssp. hutchisonii"
"Lewisia kelloggii ssp. kelloggii","Lewisia kelloggii ssp. kelloggii"
"Lewisia leana","Lewisia leeana"
"Lewisia pygmaea ssp. longipetala","Lewisia longipetala"
"Lewisia maguirei","Lewisia maguirei"
"Lewisia pygmaea var. nevadensis","Lewisia nevadensis"
"Lewisia oppositifolia","Lewisia oppositifolia"
"Lewisia pygmaea","Lewisia pygmaea"
"Lewisia rediviva","Lewisia rediviva"
"Lewisia rediviva var. minor","Lewisia rediviva var. minor"
"Lewisia rediviva var. rediviva","Lewisia rediviva var. rediviva"
"Lewisia sacajaweana","Lewisia sacajaweana"
"Lewisia serrata","Lewisia serrata"
"Lewisia stebbinsii","Lewisia stebbinsii"
"Lewisia taylorii","Lewisia taylorii"
"Erocallis triphylla","Lewisia triphylla"
"Leycesteria formosa","Leycesteria formosa"
"Liatris acidota","Liatris acidota"
"Liatris aspera","Liatris aspera"
"Liatris aspera var. aspera","Liatris aspera var. aspera"
"Liatris aspera var. intermedia","Liatris aspera var. intermedia"
"Liatris aspera var. salutans","Liatris aspera var. salutans"
"Liatris bracteata","Liatris bracteata"
"Liatris chapmanii","Liatris chapmanii"
"Liatris cokeri","Liatris cokeri"
"Liatris squarrosa var. compacta","Liatris compacta"
"Liatris cylindracea","Liatris cylindracea"
"Lacinaria cymosa","Liatris cymosa"
"Liatris densispicata","Liatris densispicata"
"Liatris densispicata","Liatris densispicata var. densispicata"
"Liatris angustifolia","Liatris densispicata var. interrupta"
"Liatris elegans","Liatris elegans"
"Liatris elegans var. carizzana","Liatris elegans var. carizzana"
"Liatris elegans var. elegans","Liatris elegans var. elegans"
"Liatris elegans var. flabellata","Liatris elegans var. flabellata"
"Liatris graminifolia var. elegantula","Liatris elegantula"
"Liatris pilosa var. elegantula","Liatris elegantula"
"Liatris garberi","Liatris garberi"
"Liatris glandulosa","Liatris glandulosa"
"Liatris gracilis","Liatris gracilis"
"Liatris helleri","Liatris helleri"
"Liatris squarrosa var. hirsuta","Liatris hirsuta"
"Liatris lancifolia","Liatris lancifolia"
"Liatris ligulistylis","Liatris ligulistylis"
"Liatris microcephala","Liatris microcephala"
"Liatris punctata var. mucronata","Liatris mucronata"
"Liatris novae-angliae","Liatris novae-angliae"
"Liatris scariosa var. nieuwlandii","Liatris novae-angliae var. nieuwlandii"
"Liatris x nieuwlandii","Liatris novae-angliae var. nieuwlandii"
"Liatris novae-angliae","Liatris novae-angliae var. novae-angliae"
"Liatris scariosa var. novaeangliae","Liatris novae-angliae var. novae-angliae"
"Liatris scariosa var. novae-angliae","Liatris novae-angliae var. novae-angliae"
"Liatris ohlingerae","Liatris ohlingerae"
"Liatris patens","Liatris patens"
"Liatris pauciflora var. pauciflora","Liatris pauciflora"
"Liatris pilosa","Liatris pilosa"
"Liatris provincialis","Liatris provincialis"
"Liatris punctata","Liatris punctata"
"Liatris punctata var. mexicana","Liatris punctata var. mexicana"
"Liatris punctata var. nebraskana","Liatris punctata var. nebraskana"
"Liatris punctata var. punctata","Liatris punctata var. punctata"
"Liatris pycnostachya","Liatris pycnostachya"
"Liatris pycnostachya var. lasiophylla","Liatris pycnostachya var. lasiophylla"
"Liatris pycnostachya var. pycnostachya","Liatris pycnostachya var. pycnostachya"
"Liatris scariosa var. scariosa","Liatris scariosa"
"Liatris pauciflora var. secunda","Liatris secunda"
"Liatris sphaeroidea","Liatris spheroidea"
"Liatris x spheroidea","Liatris spheroidea"
"Liatris spicata","Liatris spicata"
"Liatris resinosa","Liatris spicata var. resinosa"
"Liatris spicata","Liatris spicata var. spicata"
"Liatris squarrosa","Liatris squarrosa"
"Liatris squarrosa var. glabrata","Liatris squarrosa var. glabrata"
"Liatris squarrosa var. squarrosa","Liatris squarrosa var. squarrosa"
"Liatris squarrulosa","Liatris squarrulosa"
"Liatris tenuifolia","Liatris tenuifolia"
"Liatris laevigata","Liatris tenuifolia var. quadriflora"
"Liatris tenuifolia","Liatris tenuifolia var. tenuifolia"
"Liatris tenuis","Liatris tenuis"
"Liatris turgida","Liatris turgida"
"Liatris virgata","Liatris virgata"
"Liatris x boykinii","Liatris x boykinii"
"Liatris x creditonensis","Liatris x creditonensis"
"Liatris x fallacior","Liatris x fallacior"
"Liatris x frostii","Liatris x frostii"
"Liatris x gladewitzii","Liatris x gladewitzii"
"Liatris x ridgewayi","Liatris x ridgwayi"
"Liatris x steelei","Liatris x steelei"
"Liatris x weaveri","Liatris x weaveri"
"Chrysobalanus oblongifolius","Licania michauxii"
"Geobalanus oblongifolius","Licania michauxii"
"Acrodiclidium triandrum","Licaria triandra"
"Laurus triandra","Licaria triandra"
"Misanteca triandra","Licaria triandra"
"Senecio clivorum","Ligularia dentata"
"Ligusticum apiifolium","Ligusticum apiifolium"
"Ligusticum calderi","Ligusticum calderi"
"Ligusticum californicum","Ligusticum californicum"
"Ligusticum canadense","Ligusticum canadense"
"Ligusticum canbyi","Ligusticum canbyi"
"Ligusticum filicinum","Ligusticum filicinum"
"Ligusticum grayi","Ligusticum grayi"
"Ligusticum porteri","Ligusticum porteri"
"Ligusticum porteri var. brevilobum","Ligusticum porteri var. brevilobum"
"Ligusticum porteri var. porteri","Ligusticum porteri var. porteri"
"Ligusticum scothicum","Ligusticum scoticum"
"Ligusticum scothicum ssp. hultenii","Ligusticum scoticum ssp. hultenii"
"Ligusticum scothicum ssp. scothicum","Ligusticum scoticum ssp. scoticum"
"Ligusticum filicinum var. tenuifolium","Ligusticum tenuifolium"
"Ligusticum verticillatum","Ligusticum verticillatum"
"Ligustrum obtusifolium var. suave","Ligustrum amurense"
"Ligustrum japonicum","Ligustrum japonicum"
"Ligustrum lucidum","Ligustrum lucidum"
"Ligustrum obtusifolium","Ligustrum obtusifolium"
"Ligustrum ovalifolium","Ligustrum ovalifolium"
"Ligustrum quihoui","Ligustrum quihoui"
"Ligustrum sinense","Ligustrum sinense"
"Ligustrum vulgare","Ligustrum vulgare"
"Lilaeopsis carolinensis","Lilaeopsis carolinensis"
"Lilaeopsis chinensis","Lilaeopsis chinensis"
"Lilaeopsis masonii","Lilaeopsis masonii"
"Lilaeopsis occidentalis","Lilaeopsis occidentalis"
"Lilaeopsis schaffneriana","Lilaeopsis schaffneriana"
"Lilaeopsis recurva","Lilaeopsis schaffneriana var. recurva"
"Lilaeopsis schaffneriana ssp. recurva","Lilaeopsis schaffneriana var. recurva"
"Limnanthes alba","Limnanthes alba"
"Limnanthes alba ssp. alba","Limnanthes alba ssp. alba"
"Limnanthes gracilis ssp. gracilis","Limnanthes alba ssp. gracilis"
"Limnanthes gracilis var. gracilis","Limnanthes alba ssp. gracilis"
"Limnanthes gracilis ssp. parishii","Limnanthes alba ssp. parishii"
"Limnanthes gracilis var. parishii","Limnanthes alba ssp. parishii"
"Limnanthes alba ssp. versicolor","Limnanthes alba ssp. versicolor"
"Limnanthes bakeri","Limnanthes bakeri"
"Limnanthes douglasii","Limnanthes douglasii"
"Limnanthes douglasii ssp. douglasii","Limnanthes douglasii ssp. douglasii"
"Limnanthes douglasii ssp. nivea","Limnanthes douglasii ssp. nivea"
"Limnanthes douglasii ssp. rosea","Limnanthes douglasii ssp. rosea"
"Limnanthes striata","Limnanthes douglasii ssp. striata"
"Limnanthes douglasii var. sulphurea","Limnanthes douglasii ssp. sulphurea"
"Limnanthes floccosa","Limnanthes floccosa"
"Limnanthes floccosa ssp. bellingeriana","Limnanthes floccosa ssp. bellingeriana"
"Limnanthes floccosa ssp. californica","Limnanthes floccosa ssp. californica"
"Limnanthes floccosa ssp. floccosa","Limnanthes floccosa ssp. floccosa"
"Limnanthes macounii","Limnanthes macounii"
"Limnanthes montana","Limnanthes montana"
"Limnanthes pumila","Limnanthes pumila"
"Limnanthes floccosa ssp. grandiflora","Limnanthes pumila ssp. grandiflora"
"Limnanthes floccosa ssp. pumila","Limnanthes pumila ssp. pumila"
"Limnanthes vinculans","Limnanthes vinculans"
"Limnophila indica","Limnophila indica"
"Limnophila sessiliflora","Limnophila sessiliflora"
"Limnophila x ludoviciana","Limnophila x ludoviciana"
"Cynosciadium pinnatum","Limnosciadium pinnatum"
"Limnosciadium pumilum","Limnosciadium pumilum"
"Statice californica","Limonium californicum"
"Limonium carolinianum","Limonium carolinianum"
"Limonium limbatum","Limonium limbatum"
"Limonium perezii","Limonium perezii"
"Limonium sinuatum","Limonium sinuatum"
"Limonium vulgare","Limonium vulgare"
"Limosella acaulis","Limosella acaulis"
"Limosella aquatica","Limosella aquatica"
"Limosella aquatica var. tenuifolia","Limosella australis"
"Limosella pubiflora","Limosella pubiflora"
"Leptosiphon acicularis","Linanthus acicularis"
"Leptosiphon aureus","Linanthus acicularis"
"Leptosiphon ambiguus","Linanthus ambiguus"
"Linanthus androsaceus","Linanthus androsaceus"
"Linanthus arenicola","Linanthus arenicola"
"Leptosiphon aureus","Linanthus aureus"
"Leptosiphon chrysanthus","Linanthus aureus"
"Linanthus aureus ssp. aureus","Linanthus aureus ssp. aureus"
"Leptosiphon chrysanthus var. decorus","Linanthus aureus ssp. decorus"
"Linanthus bakeri","Linanthus bakeri"
"Linanthus bellus","Linanthus bellus"
"Linanthus bernardinus","Linanthus bernardinus"
"Leptosiphon bicolor","Linanthus bicolor"
"Linanthus bicolor ssp. bicolor","Linanthus bicolor"
"Linanthus bigelovii","Linanthus bigelovii"
"Linanthus bigelovii ssp. bigelovii","Linanthus bigelovii ssp. bigelovii"
"Linanthus bigelovii ssp. johnsonii","Linanthus bigelovii ssp. johnsonii"
"Leptosiphon bolanderi","Linanthus bolanderi"
"Linanthus breviculus","Linanthus breviculus"
"Gilia campanulata","Linanthus campanulatus"
"Leptosiphon ciliatus","Linanthus ciliatus"
"Linanthus ciliatus var. ciliatus","Linanthus ciliatus var. ciliatus"
"Leptosiphon ciliatus ssp. neglectus","Linanthus ciliatus var. neglectus"
"Linanthus concinnus","Linanthus concinnus"
"Linanthus demissus","Linanthus demissus"
"Linanthus dianthiflorus","Linanthus dianthiflorus"
"Linanthus dianthiflorus ssp. dianthiflorus","Linanthus dianthiflorus ssp. dianthiflorus"
"Linanthus dianthiflorus ssp. farinosus","Linanthus dianthiflorus ssp. farinosus"
"Linanthus dichotomus","Linanthus dichotomus"
"Linanthus dichotomus ssp. dichotomus","Linanthus dichotomus ssp. dichotomus"
"Linanthus dichotomus ssp. meridianus","Linanthus dichotomus ssp. meridianus"
"Linanthus dichotomus ssp. pattersonii","Linanthus dichotomus ssp. pattersonii"
"Gilia filiformis","Linanthus filiformis"
"Linanthus filipes","Linanthus filipes"
"Linanthus floribundus","Linanthus floribundus"
"Linanthus floribundus ssp. floribundus","Linanthus floribundus ssp. floribundus"
"Linanthus floribundus ssp. glabrus","Linanthus floribundus ssp. glabrus"
"Leptosiphon floribundus ssp. hallii","Linanthus floribundus ssp. hallii"
"Leptosiphon grandiflorus","Linanthus grandiflorus"
"Leptosiphon harknessii","Linanthus harknessii"
"Gilia inyoensis","Linanthus inyoensis"
"Leptosiphon jepsonii","Linanthus jepsonii"
"Linanthus jonesii","Linanthus jonesii"
"Linanthus killipii","Linanthus killipii"
"Leptosiphon latisectus","Linanthus latisectus"
"Linanthus lemmonii","Linanthus lemmonii"
"Leptosiphon liniflorus","Linanthus liniflorus"
"Linanthus liniflorus ssp. liniflorus","Linanthus liniflorus ssp. liniflorus"
"Linanthus liniflorus ssp. pharnaceoides","Linanthus liniflorus ssp. pharnaceoides"
"Gilia maculata","Linanthus maculatus"
"Linanthus maculatus ssp. emaculatus","Linanthus maculatus ssp. emaculatus"
"Linanthus maculatus ssp. maculatus","Linanthus maculatus ssp. maculatus"
"Linanthus maricopensis","Linanthus maricopensis"
"Leptosiphon minimus","Linanthus minimus"
"Linanthus bicolor ssp. minimus","Linanthus minimus"
"Leptosiphon montanus","Linanthus montanus"
"Leptosiphon nudatus","Linanthus nudatus"
"Leptosiphon nuttallii","Linanthus nuttallii"
"Linanthastrum nuttallii","Linanthus nuttallii"
"Leptosiphon nuttallii ssp. howellii","Linanthus nuttallii ssp. howellii"
"Leptosiphon nuttallii ssp. nuttallii","Linanthus nuttallii ssp. nuttallii"
"Linanthastrum nuttallii ssp. nuttallii","Linanthus nuttallii ssp. nuttallii"
"Leptosiphon nuttallii ssp. pubescens","Linanthus nuttallii ssp. pubescens"
"Linanthus nuttallii ssp. tenuilobus","Linanthus nuttallii ssp. tenuilobus"
"Leptosiphon oblanceolatus","Linanthus oblanceolatus"
"Linanthus orcuttii ssp. pacificus","Linanthus orcuttii"
"Leptosiphon pachyphyllus","Linanthus pachyphyllus"
"Linanthus parryae","Linanthus parryae"
"Leptosiphon parviflorus","Linanthus parviflorus"
