"inputName","outputName"
"x Asplenosorus pinnatifidus","Asplenium pinnatifidum"
"Asplenium platyneuron","Asplenium platyneuron"
"Asplenium x plenum","Asplenium plenum"
"Asplenium polyodon","Asplenium polyodon"
"Asplenium polyodon var. knudsenii","Asplenium polyodon var. knudsenii"
"Asplenium polyodon var. nitidulum","Asplenium polyodon var. nitidulum"
"Asplenium polyodon var. sectum","Asplenium polyodon var. sectum"
"Asplenium polyodon var. subcaudatum","Asplenium polyodon var. subcaudatum"
"Asplenium praemorsum","Asplenium praemorsum"
"Asplenium pumilum","Asplenium pumilum"
"Asplenium resiliens","Asplenium resiliens"
"Camptosorus rhizophyllus","Asplenium rhizophyllum"
"Asplenium fragile var. insulare","Asplenium rhomboideum"
"Asplenium peruvianum var. insulare","Asplenium rhomboideum"
"Asplenium ruta-muraria","Asplenium ruta-muraria"
"Asplenium ruta-muraria var. cryptolepis","Asplenium ruta-muraria var. lanceolum"
"Asplenium schizophyllum","Asplenium schizophyllum"
"Phyllitis scolopendrium","Asplenium scolopendrium"
"Asplenium scolopendrium ssp. americanum","Asplenium scolopendrium var. americanum"
"Phyllitis fernaldiana","Asplenium scolopendrium var. americanum"
"Phyllitis japonica ssp. americana","Asplenium scolopendrium var. americanum"
"Phyllitis scolopendrium var. americana","Asplenium scolopendrium var. americanum"
"Phyllitis scolopendrium var. americanum","Asplenium scolopendrium var. americanum"
"Asplenium scolopendrium ssp. scolopendrium","Asplenium scolopendrium var. scolopendrium"
"Phyllitis scolopendrium var. scolopendrium","Asplenium scolopendrium var. scolopendrium"
"Acrostichum septentrionale","Asplenium septentrionale"
"Asplenium serratum","Asplenium serratum"
"Asplenium trichomanes","Asplenium trichomanes"
"Asplenium quadrivalens","Asplenium trichomanes ssp. quadrivalens"
"Asplenium trichomanes","Asplenium trichomanes ssp. trichomanes"
"Asplenium tutwilerae","Asplenium tutwilerae"
"Asplenium unilaterale","Asplenium unilaterale"
"Asplenium varians","Asplenium varians"
"Asplenium vespertinum","Asplenium vespertinum"
"Asplenium trichomanes-ramosum","Asplenium viride"
"Asplenium x alternifolium","Asplenium x alternifolium"
"Asplenium x biscaynianum","Asplenium x biscayneanum"
"x Asplenosorus boydstoniae","Asplenium x boydstoniae"
"Asplenium x clermontiae","Asplenium x clermontiae"
"Asplenium ebenoides","Asplenium x ebenoides"
"x Asplenosorus ebenoides","Asplenium x ebenoides"
"x Asplenosorus gravesii","Asplenium x gravesii"
"x Asplenosorus herb-wagneri","Asplenium x herb-wagneri"
"x Asplenosorus inexpectatus","Asplenium x inexpectatum"
"x Asplenosorus kentuckiensis","Asplenium x kentuckiense"
"Asplenium x morganii","Asplenium x morganii"
"x Asplenosorus shawneense","Asplenium x shawneense"
"Asplenium pinnatifidum var. trudellii","Asplenium x trudellii"
"Asplenium trudellii","Asplenium x trudellii"
"×Asplenosorus trudellii","Asplenium x trudellii"
"Asplenium x virginicum","Asplenium x virginicum"
"Asplenium x wherryi","Asplenium x wherryi"
"Astrolepis cochisensis","Astrolepis cochisensis"
"Astrolepis cochisensis ssp. arizonica","Astrolepis cochisensis ssp. arizonica"
"Astrolepis cochisensis ssp. chihuahuaensis","Astrolepis cochisensis ssp. chihuahuaensis"
"Cheilanthes cochisensis","Astrolepis cochisensis ssp. cochisensis"
"Notholaena cochisensis","Astrolepis cochisensis ssp. cochisensis"
"Astrolepis x integerrima","Astrolepis integerrima"
"Cheilanthes sinuata","Astrolepis sinuata"
"Notholaena sinuata","Astrolepis sinuata"
"Astrolepis sinuata ssp. mexicana","Astrolepis sinuata ssp. mexicana"
"Astrolepis sinuata ssp. sinuata","Astrolepis sinuata ssp. sinuata"
"Astrolepis windhamii","Astrolepis windhamii"
"Athyrium alpestre","Athyrium americanum"
"Athyrium alpestre ssp. americanum","Athyrium americanum"
"Athyrium alpestre var. americanum","Athyrium americanum"
"Athyrium distentifolium","Athyrium americanum"
"Athyrium distentifolium ssp. americanum","Athyrium americanum"
"Athyrium distentifolium var. americanum","Athyrium americanum"
"Athyrium filix-femina","Athyrium filix-femina"
"Athyrium angustum","Athyrium filix-femina ssp. angustum"
"Athyrium filix-femina var. angustum","Athyrium filix-femina ssp. angustum"
"Athyrium asplenioides","Athyrium filix-femina ssp. asplenioides"
"Athyrium filix-femina var. asplenioides","Athyrium filix-femina ssp. asplenioides"
"Athyrium filix-femina var. cyclosorum","Athyrium filix-femina ssp. cyclosorum"
"Athyrium microphyllum","Athyrium microphyllum"
"Azolla cristata","Azolla caroliniana"
"Azolla filiculoides","Azolla filiculoides"
"Azolla microphylla","Azolla mexicana"
"Azolla pinnata","Azolla pinnata"
"Blechnum occidentale var. minor","Blechnum appendiculatum"
"Bommeria hispida","Bommeria hispida"
"Polypodium angustifolium","Campyloneurum angustifolium"
"Polypodium costatum","Campyloneurum costatum"
"Campyloneurum phyllitidis","Campyloneurum phyllitidis"
"Ceratopteris pteridoides","Ceratopteris pteridoides"
"Ceratopteris richardii","Ceratopteris richardii"
"Ceratopteris thalictroides","Ceratopteris thalictroides"
"Cheilanthes leucopoda","Cheilanthes leucopoda"
"Cheilanthes viridis","Choristosoria viridis"
"Cheilanthes viridis var. macrophylla","Choristosoria viridis ssp. macrophylla"
"Cheilanthes viridis var. viridis","Choristosoria viridis ssp. viridis"
"Thelypteris dentata","Christella dentata"
"Dryopteris hispidula","Christella hispidula"
"Thelypteris hispidula","Christella hispidula"
"Dryopteris parasitica","Christella parasitica"
"Polypodium parasiticum","Christella parasitica"
"Thelypteris parasitica","Christella parasitica"
"Cibotium chamissoi","Cibotium chamissoi"
"Cibotium glaucum","Cibotium glaucum"
"Cibotium menziesii","Cibotium menziesii"
"Cibotium nealiae","Cibotium nealiae"
"Cibotium x heleniae","Cibotium x heleniae"
"Osmunda claytoniana","Claytosmunda claytoniana"
"Osmundastrum claytonianum","Claytosmunda claytoniana"
"Coniogramme pilosa","Coniogramme pilosa"
"Aspidium simulatum","Coryphopteris simulata"
"Parathelypteris simulata","Coryphopteris simulata"
"Thelypteris simulata","Coryphopteris simulata"
"Trichomanes draytonianum","Crepidomanes draytonianum"
"Vandenboschia draytoniana","Crepidomanes draytonianum"
"Trichomanes intricatum","Crepidomanes intricatum"
"Cryptogramma crispa ssp. acrostichoides","Cryptogramma acrostichoides"
"Cryptogramma crispa var. acrostichoides","Cryptogramma acrostichoides"
"Cryptogramma cascadensis","Cryptogramma cascadensis"
"Cryptogramma crispa var. sitchensis","Cryptogramma sitchensis"
"Cryptogramma stelleri","Cryptogramma stelleri"
"Ctenitis honolulensis","Ctenitis honolulensis"
"Ctenitis latifrons","Ctenitis latifrons"
"Nothoperanema rubiginosa","Ctenitis rubiginosa"
"Nothoperanema rubiginosum","Ctenitis rubiginosa"
"Ctenitis sloanei","Ctenitis sloanei"
"Ctenitis squamigera","Ctenitis squamigera"
"Ctenitis submarginalis","Ctenitis submarginalis"
"Sphaeropteris cooperi","Cyathea cooperi"
"Thelypteris interrupta","Cyclosorus interruptus"
"Cyrtomium caryotideum","Cyrtomium caryotideum"
"Cyrtomium falcatum","Cyrtomium falcatum"
"Cyrtomium fortunei","Cyrtomium fortunei"
"Filix bulbifera","Cystopteris bulbifera"
"Polypodium bulbiferum","Cystopteris bulbifera"
"Cystopteris douglasii","Cystopteris douglasii"
"Filix fragilis","Cystopteris fragilis"
"Polypodium fragile","Cystopteris fragilis"
"Cystopteris fragilis var. laurentiana","Cystopteris laurentiana"
"Cystopteris x laurentiana","Cystopteris laurentiana"
"Cyathea montana","Cystopteris montana"
"Filix montana","Cystopteris montana"
"Polypodium montanum","Cystopteris montana"
"Cystopteris fragilis var. protrusa","Cystopteris protrusa"
"Cystopteris reevesiana","Cystopteris reevesiana"
"Cystopteris sandwicensis","Cystopteris sandwicensis"
"Cystopteris x tennesseensis","Cystopteris tennesseensis"
"Cystopteris fragilis var. mackayi","Cystopteris tenuis"
"Nephrodium tenue","Cystopteris tenuis"
"Cystopteris utahensis","Cystopteris utahensis"
"Cystopteris x illinoensis","Cystopteris x illinoensis"
"Cystopteris x wagneri","Cystopteris x wagneri"
"Dennstaedtia cicutaria","Dennstaedtia cicutaria"
"Athyrium thelypterioides","Deparia acrostichoides"
"Diplazium acrostichoides","Deparia acrostichoides"
"Deparia fenzliana","Deparia fenzliana"
"Deparia kaalaana","Deparia kaalaana"
"Deparia marginalis","Deparia marginalis"
"Asplenium petersenii","Deparia petersenii"
"Athyrium petersenii","Deparia petersenii"
"Deparia japonica","Deparia petersenii"
"Deparia petersonii","Deparia petersenii"
"Deparia prolifera","Deparia prolifera"
"Dicranopteris emarginata","Dicranopteris emarginata"
"Dicranopteris emarginata var. emarginata","Dicranopteris emarginata var. emarginata"
"Dicranopteris emarginata var. inaequalis","Dicranopteris emarginata var. inaequalis"
"Dicranopteris flexuosa","Dicranopteris flexuosa"
"Dicranopteris linearis","Dicranopteris linearis"
"Dicranopteris linearis var. linearis","Dicranopteris linearis var. linearis"
"Dicranopteris linearis var. maxima","Dicranopteris linearis var. maxima"
"Trichomanes krausii","Didymoglossum krausii"
"Trichomanes lineolatum","Didymoglossum lineolatum"
"Lecanium membranaceum","Didymoglossum membranaceum"
"Trichomanes membranaceum","Didymoglossum membranaceum"
"Trichomanes petersii","Didymoglossum petersii"
"Trichomanes punctatum","Didymoglossum punctatum"
"Trichomanes punctatum ssp. floridanum","Didymoglossum punctatum ssp. floridanum"
"Asplenium dielerectum","Diellia erecta"
"Asplenium dielfalcatum","Diellia falcata"
"Asplenium diellaciniatum","Diellia laciniata"
"Asplenium leucostegioides","Diellia leucostegioides"
"Asplenium dielmannii","Diellia mannii"
"Asplenium dielpallidum","Diellia pallida"
"Asplenium unisorum","Diellia unisora"
"Diplazium esculentum","Diplazium esculentum"
"Diplazium lonchophyllum","Diplazium lonchophyllum"
"Diplazium meyenianum","Diplazium meyenianum"
"Diplazium molokaiense","Diplazium molokaiense"
"Diplazium sandwichianum","Diplazium sandwichianum"
"Diplopterygium pinnatum","Diplopterygium pinnatum"
"Doodia kunthiana","Doodia kunthiana"
"Blechnum lyonii","Doodia lyonii"
"Doryopteris angelica","Doryopteris angelica"
"Cheilanthes decipiens","Doryopteris decipiens"
"Cheilanthes decora","Doryopteris decora"
"Cheilanthes takeuchii","Doryopteris takeuchii"
"Dryopteris acutidens","Dryopteris acutidens"
"Dryopteris glabra var. alboviridis","Dryopteris alboviridis"
"Dryopteris arguta","Dryopteris arguta"
"Dryopteris x australis","Dryopteris australis"
"Dryopteris austriaca","Dryopteris campyloptera"
"Dryopteris carthusiana","Dryopteris carthusiana"
"Dryopteris wherryi","Dryopteris celsa"
"Dryopteris cinnamomea","Dryopteris cinnamomea"
"Dryopteris cristata var. clintoniana","Dryopteris clintoniana"
"Dryopteris crinalis","Dryopteris crinalis"
"Aspidium cristatum","Dryopteris cristata"
"Dryopteris erythrosora","Dryopteris erythrosora"
"Dryopteris expansa","Dryopteris expansa"
"Dryopteris filix-mas","Dryopteris filix-mas"
"Dryopteris filix-mas ssp. brittonii","Dryopteris filix-mas ssp. brittonii"
"Dryopteris filix-mas ssp. filix-mas","Dryopteris filix-mas ssp. filix-mas"
"Thelypteris fragrans","Dryopteris fragrans"
"Dryopteris fuscoatra","Dryopteris fuscoatra"
"Dryopteris glabra","Dryopteris glabra"
"Dryopteris goldiana","Dryopteris goldieana"
"Dryopteris hangchowensis","Dryopteris hangchowensis"
"Dryopteris hawaiiensis","Dryopteris hawaiiensis"
"Dryopteris glabra var. hobdyana","Dryopteris hobdyana"
"Dryopteris intermedia","Dryopteris intermedia"
"Dryopteris ludoviciana","Dryopteris ludoviciana"
"Dryopteris marginalis","Dryopteris marginalis"
"Dryopteris mauiensis","Dryopteris mauiensis"
"Dryopteris nuda","Dryopteris nuda"
"Dryopteris parvula","Dryopteris parvula"
